PARAM,AVG_TIME,RUN,FAILED
1,52.978ms,1,0
1,46.186ms,2,0
1,43.936ms,3,0
10,270.736ms,1,0
10,124.801ms,2,0
10,133.833ms,3,0
20,366.787ms,1,0
20,200.628ms,2,0
20,183.195ms,3,0
50,440.481ms,1,0
50,464.083ms,2,0
50,555.574ms,3,0
100,955.768ms,1,0
100,887.305ms,2,0
100,1131.345ms,3,0
1000,-1ms,1,1
1000,-1ms,2,1
1000,-1ms,3,1
