PARAM,AVG_TIME,RUN,FAILED
10,628ms,1,0
10,609ms,2,0
10,957ms,3,0
100,1065ms,1,0
100,652ms,2,0
100,605ms,3,0
1000,528ms,1,0
1000,431ms,2,0
1000,505ms,3,0



